"ID","ATTIT.11","EXPO.11","ATTIT.12","EXPO.12","ATTIT.13","EXPO.13","ATTIT.14","EXPO.14","ATTIT.15","EXPO.15","FEMALE","MINORITY","INCOME"
"     181",NA,NA,1.13,0.56,0.94,0.61,1.17,0.93,1.2,1.04,1,0,2
"     186",0,-0.27,0.11,0.26,0.37,-0.01,0.11,-0.37,0.51,-0.37,1,1,1
"     189",0.2,0.14,NA,NA,0.29,-0.37,0.11,-0.37,0.44,-0.37,0,0,3
"     190",0.44,0.26,0.44,0.14,0.51,0.32,0.51,-0.01,0.51,0.2,0,0,1
"     194",0,0.14,NA,NA,NA,NA,NA,NA,NA,NA,0,0,5
"     198",0.37,-0.09,0.29,-0.01,0.44,0.26,0.64,0.42,0.8,0.2,0,0,2
"     199",0.29,-0.09,0.2,-0.09,0.29,0.42,0.64,-0.01,0.51,0.26,1,0,3
"     208",0.37,-0.27,NA,NA,0.37,-0.27,0,-0.27,0,-0.17,0,0,3
"     211",0,-0.17,0,-0.37,0,-0.37,0,-0.37,0,-0.27,0,0,3
"     218",NA,NA,0.11,-0.06,0.51,-0.01,0.69,-0.01,0.89,0.2,1,0,6
"     231",0.11,-0.17,0,-0.37,NA,NA,NA,NA,NA,NA,1,0,5
"     237",0.44,-0.09,0.44,-0.17,0.29,-0.27,0.69,-0.01,0.75,-0.09,0,0,2
"     244",0,-0.27,0.2,-0.27,0,-0.27,0,-0.37,0.37,-0.37,1,1,2
"     246",NA,NA,NA,NA,0.8,0.26,0.58,0.2,0.29,0.14,0,0,5
"     249",0.11,-0.37,0.11,-0.09,0,-0.17,0.37,-0.17,0.75,-0.17,0,1,4
"     259",0,-0.17,0.11,0.19,0.64,0.2,0.69,0.2,0.69,-0.01,0,0,6
"     262",0.2,-0.01,0.11,-0.37,0.2,-0.37,0.69,-0.37,0.29,-0.37,0,0,5
"     266",0.37,-0.37,0,-0.09,0.29,-0.09,0.69,-0.01,0.75,0.14,0,0,5
"     268",0.37,-0.27,0.29,-0.09,0.69,-0.01,0.58,-0.17,0.29,-0.01,1,0,6
"     281",0.29,-0.01,NA,NA,0.37,0.32,0.51,0.14,0.64,-0.01,0,0,5
"     297",0,-0.27,NA,NA,NA,NA,NA,NA,NA,NA,1,0,3
"     314",0.2,-0.27,0.2,-0.27,0.44,-0.27,0.11,-0.09,0.11,-0.17,0,0,10
"     330",0.29,-0.01,0.37,0.2,0,-0.17,NA,NA,0.51,0.2,0,1,2
"     334",NA,NA,0,-0.17,0.11,-0.27,0,-0.17,0,-0.37,1,1,1
"     361",NA,NA,NA,NA,0.44,0.26,0.44,-0.09,0.8,0.69,0,0,4
"     362",0.11,-0.09,0.37,-0.09,0,-0.17,0,-0.27,0,-0.37,0,0,4
"     363",0,-0.17,0.11,-0.27,0,0.07,0.11,-0.01,0,-0.37,1,0,4
"     368",NA,NA,0.29,-0.27,0.11,-0.17,0,0.73,0.2,0.26,1,0,2
"     369",0.51,-0.06,0.37,-0.17,0.69,-0.17,NA,NA,0.69,0.47,1,0,2
"     374",0,0.07,NA,NA,NA,NA,NA,NA,NA,NA,1,0,5
"     385",0.37,-0.37,0.2,-0.27,0.37,-0.27,0.64,-0.17,0.69,-0.01,1,0,5
"     387",0.29,-0.09,0.44,0.14,0.69,0.2,0.94,0.2,0.75,0.14,1,0,10
"     396",0.44,-0.09,0.44,-0.01,0.37,0.07,0.44,0.14,0.29,-0.01,1,0,5
"     398",0.44,-0.27,NA,NA,0.44,-0.09,0.44,0.07,0.51,-0.01,1,0,5
"     400",0.2,-0.27,0.29,-0.17,0.37,-0.27,0.29,-0.01,0.44,-0.09,0,0,6
"     411",0.2,0.07,0.12,-0.01,0.37,-0.01,0.69,0.42,0.75,0.47,0,0,3
"     419",0.29,-0.09,0,-0.27,0.11,-0.09,0.69,0.32,0.69,0.37,0,0,4
"     422",0.2,0.03,0.11,-0.17,0.44,-0.01,0.29,0.2,0.51,0.26,1,0,5
"     424",0.44,-0.27,0.2,-0.09,0.69,0.42,1.17,0.56,1.06,0.52,1,0,2
"     434",0.51,-0.09,0.51,-0.09,0.69,-0.01,0.85,0.37,0.8,0.42,0,0,5
"     442",0.37,-0.17,0.69,0.07,0.37,0.14,0.51,0.37,0.64,0.14,0,0,5
"     453",0.51,-0.09,NA,NA,0.51,0.26,0.44,0.65,0.8,0.76,0,0,2
"     454",0.44,0.26,0.94,0.61,0.75,0.52,0.58,0.56,1.02,0.73,1,0,2
"     459",0.29,-0.17,0.2,-0.17,0.44,0.07,0.58,-0.01,0.29,-0.01,0,0,9
"     468",0.44,0.2,NA,NA,0.44,0.26,0.11,0.26,0.69,0.2,0,0,7
"     473",0.2,0.65,0,0.61,0.29,0.2,0.2,-0.17,0.37,0.32,0,0,4
"     488",0.29,-0.37,0.2,-0.17,0.11,-0.27,0.11,-0.27,0.11,-0.09,1,0,3
"     514",0.29,-0.17,0.51,-0.17,0.8,-0.17,0.75,-0.17,0.89,0.14,1,0,5
"     520",0.11,0.86,0.11,0.26,0.44,0.19,0.51,0.32,0.69,0.83,0,0,2
"     522",0.2,-0.27,0.11,-0.01,0.2,-0.27,0.69,-0.27,0.69,-0.01,1,1,4
"     528",0.11,0.32,0,-0.27,0,-0.27,0.37,-0.09,0.51,0.11,0,0,8
"     529",0,-0.37,0,-0.37,0.2,-0.27,0.2,-0.27,0.2,-0.17,1,0,10
"     536",0.2,-0.27,0.29,-0.17,0.11,-0.37,0.2,-0.27,0.2,-0.37,1,1,1
"     553",NA,NA,NA,NA,0.2,-0.37,0.2,-0.09,NA,NA,1,1,2
"     555",0.29,-0.17,NA,NA,0.2,-0.37,0.2,-0.37,0.11,-0.27,1,1,1
"     558",NA,NA,NA,NA,0.29,0.56,0.11,0.14,NA,NA,1,0,2
"     561",0.11,-0.17,0.37,0.2,1.2,0.61,0.8,0.07,0.85,0.32,0,0,7
"     566",0.29,0.32,0.2,0.07,0.44,0.2,0.64,0.07,0.69,0.07,0,1,1
"     569",0.58,0.83,0.64,0.52,0.64,0.73,0.69,0.73,0.69,0.61,0,0,1
"     570",0.64,-0.01,0.64,0.69,0.37,0.98,0.58,0.96,NA,NA,0,0,1
"     590",0.37,-0.17,0.2,-0.17,0.29,-0.09,0.2,-0.26,0.29,-0.09,1,0,7
"     593",0,-0.37,0.29,-0.37,0.11,-0.37,0.69,-0.27,0.11,-0.37,1,0,3
"     606",0.11,-0.37,0.11,-0.09,0.37,-0.17,0.2,-0.17,0.2,-0.17,1,0,6
"     615",0.2,-0.27,0,-0.37,0.29,-0.27,0.51,0.37,0.37,0.32,1,0,3
"     618",0,-0.17,0.2,-0.17,0.29,0.07,0.2,-0.09,0.44,-0.09,1,0,6
"     624",0.11,-0.01,0.11,0.07,0.2,-0.01,0.11,-0.01,0.2,-0.17,1,0,3
"     629",0,-0.27,0,-0.17,0,-0.17,0,-0.17,0,-0.37,1,0,6
"     639",0.37,-0.01,0.29,0.47,0.75,0.14,0.58,0.69,0.64,0.37,0,0,4
"     648",0,-0.17,0,0.14,0,-0.37,0,-0.27,0,-0.17,1,0,4
"     651",0,-0.37,0,-0.37,0.2,-0.27,0.51,0.32,0.37,-0.17,1,0,10
"     655",NA,NA,0.69,0.56,0.58,0.47,0.37,0.37,0.94,0.07,0,0,5
"     657",0.37,-0.27,0.11,-0.17,0.2,-0.37,0.11,-0.17,0.11,-0.37,1,0,4
"     659",0.2,-0.09,0.44,-0.09,0.75,0.14,0.64,0.14,0.64,-0.01,0,1,2
"     668",NA,NA,0,-0.27,0,-0.37,0.11,-0.37,0.2,-0.27,0,0,10
"     676",NA,NA,0.37,0.32,0.37,0.26,0.69,0.14,0.85,0.65,1,1,3
"     677",0.11,0.37,0.44,0.2,0.29,0.38,0.98,0.83,0.8,0.42,0,1,2
"     686",0.58,0.07,0.44,0.26,0.44,0.52,0.64,0.32,0.69,0.61,0,0,6
"     704",NA,NA,0.29,0.07,0.37,0.52,0.37,-0.27,0.69,-0.09,1,0,3
"     712",0.11,-0.27,0.29,-0.27,0.29,-0.27,0.2,-0.27,0.2,-0.27,0,0,10
"     715",0.51,-0.09,0.11,-0.01,0.29,-0.09,0.44,0.14,0.64,0.37,1,1,3
"     718",0,-0.17,0.11,0.14,0,0.26,0,-0.17,0,-0.17,0,0,1
"     723",0.2,-0.01,0.29,-0.09,0.11,-0.27,0,-0.37,0.11,-0.37,0,0,6
"     725",0.29,-0.27,0.2,-0.37,0,-0.37,0,-0.37,0,-0.37,1,0,5
"     747",0.2,-0.17,0,0.2,0,-0.37,0.51,-0.01,0.69,-0.01,0,0,8
"     749",0.44,-0.09,0.37,-0.17,0.64,-0.37,0.69,-0.09,0.8,0.14,0,1,2
"     750",0.37,-0.27,0.29,-0.17,0.29,-0.09,0.98,0.32,0.98,0.2,1,1,2
"     755",0,-0.27,0,-0.01,0.51,-0.17,0.44,-0.09,0.69,-0.27,0,0,5
"     765",0.2,-0.27,0.29,0.2,0.58,-0.09,0.58,-0.17,0.75,0.26,1,0,6
"     789",NA,NA,0.2,-0.17,0.58,0.64,0.89,0.76,0.85,0.69,0,0,4
"     818",0,-0.27,0,-0.17,0.58,0.2,0.58,0.61,0,0.56,0,1,2
"     824",0.11,0.07,0,-0.09,0.37,0.2,0.37,0.07,0.44,0.37,0,1,2
"     825",0.44,-0.27,0.51,-0.27,0.37,0.21,0.64,-0.17,0.58,-0.37,0,1,2
"     829",0,-0.17,NA,NA,0.2,-0.09,0.44,-0.01,0.29,0.14,0,1,1
"     848",0.29,-0.26,0.29,-0.09,0.2,-0.17,0.44,0.65,0.2,0.61,1,0,3
"     851",0.29,-0.27,0.2,-0.09,0.11,-0.27,0.75,0.14,0.69,-0.01,0,0,4
"     856",NA,NA,0.29,0.2,0.29,0.07,0.58,0.2,0.58,0.2,0,0,1
"     868",0,0.61,0.69,-0.01,0.11,-0.09,0.11,-0.17,0.58,-0.37,0,1,1
"     871",0,0.2,0.29,0.07,NA,NA,NA,NA,NA,NA,0,1,1
"     879",0.69,0.26,NA,NA,0,-0.01,0.2,-0.27,0.2,-0.09,0,1,5
"     897",0,-0.27,0.11,-0.09,0.64,0.26,0,-0.09,0.2,0.26,1,0,7
"     901",0.2,0.14,0.11,-0.09,0.2,0.2,0.44,0.26,0.44,0.65,0,0,3
"     902",0,-0.37,0,-0.37,0,-0.09,0.11,-0.27,0.37,-0.01,0,0,1
"     913",0,0.52,0.2,0.14,0.2,-0.17,0.2,-0.09,0.29,0.14,0,0,5
"     918",0,-0.27,0,-0.37,0.2,0.2,0.69,0.47,0.2,0.56,0,0,7
"     922",NA,NA,0.11,-0.01,0.11,-0.09,0.11,-0.09,0,-0.27,1,1,1
"     923",0,0.14,0,-0.15,0,0.2,0,0.86,0,0.2,1,1,1
"     941",0,-0.01,0.51,-0.27,0,-0.09,0.69,-0.01,0,-0.09,1,1,1
"     946",0.29,0.32,0.37,0.11,0.69,-0.01,0.51,-0.17,0.64,-0.01,1,1,3
"     949",0.69,-0.17,0.44,-0.09,0.11,-0.09,0.37,-0.17,0.44,0.14,1,0,3
"     962",0.44,0.08,0.51,0.2,0.75,0.37,0.8,0.47,0.2,0.32,0,1,1
"     963",NA,NA,0.29,0.2,0.37,0.14,0.29,0.07,0,-0.09,0,1,1
"     972",0.11,-0.37,0.29,-0.37,0.11,-0.01,0.11,0.2,0.11,0.26,1,1,10
"     978",0.2,-0.27,0.29,-0.27,0.75,0.32,1.24,0.93,1.2,0.93,1,0,4
"    1006",0.2,-0.27,0.2,-0.37,0.11,0.2,0,-0.37,0,-0.37,0,0,3
"    1012",0,-0.01,NA,NA,0.11,-0.27,0.11,-0.27,0,-0.17,1,1,5
"    1021",0.2,-0.17,0.37,-0.17,0.37,-0.09,0.29,-0.01,0.2,-0.09,1,0,3
"    1023",0.11,-0.27,0.11,0.07,0.29,0.07,0.37,0.14,0.11,-0.01,1,0,6
"    1024",0,-0.09,0.11,-0.27,0,-0.27,0.11,-0.01,0.29,0.07,1,0,3
"    1030",0,-0.01,0,-0.27,0.2,0.32,0.64,0.07,0.69,0.32,1,1,3
"    1040",0.37,-0.27,0,-0.17,0.2,-0.27,0.37,-0.09,0.44,-0.01,1,0,6
"    1042",0.2,-0.27,0.11,-0.17,0.2,-0.01,0.2,-0.17,0.44,-0.01,1,0,8
"    1044",0.51,-0.09,0.29,-0.37,0.51,-0.17,0.51,0.2,0.51,0.07,0,0,6
"    1049",0.2,-0.37,0.37,-0.09,0.29,-0.09,0.29,-0.37,0.29,-0.37,0,0,8
"    1053",0.2,-0.09,0,0.07,0,-0.37,0,-0.37,0.2,-0.27,0,0,3
"    1059",0.2,-0.37,0,-0.17,0.64,-0.37,0.69,-0.37,0.64,0.14,1,1,5
"    1062",0.8,0.42,0,-0.27,0.94,0.32,0.8,0.96,0.64,0.69,0,1,2
"    1064",0.11,0.14,0.37,-0.12,0.44,0.56,0.29,0.07,0.51,0.2,0,1,6
"    1072",0.2,-0.01,0.11,-0.17,0.69,0.2,NA,NA,NA,NA,1,1,7
"    1073",0,-0.09,0,-0.01,0.11,-0.27,0.2,-0.09,0.29,-0.17,0,1,2
"    1074",NA,NA,0.11,-0.27,0,-0.27,0.69,-0.27,0.69,-0.09,1,0,2
"    1082",NA,NA,0.11,-0.37,0.2,-0.17,0.44,-0.17,0.29,-0.01,1,1,2
"    1103",0,-0.37,0,-0.27,0.69,-0.01,0.51,-0.17,0.69,-0.09,1,0,3
"    1105",0.29,0.11,0.64,0.52,0.69,0.52,0.64,-0.01,0.75,0.37,1,0,4
"    1107",0.44,0.32,0.37,0.14,0.29,-0.17,0.75,0.32,0.8,0.47,0,0,8
"    1111",0.58,0.2,NA,NA,NA,NA,NA,NA,NA,NA,1,0,5
"    1117",0.29,-0.27,0,-0.27,0,-0.27,0.11,-0.01,0.11,-0.17,1,0,3
"    1134",0.11,0.2,0,-0.09,0,-0.09,0,0.14,0.2,0.2,0,1,3
"    1141",0,0.26,0.44,-0.17,0.69,-0.17,0.51,-0.17,0.11,-0.37,0,0,5
"    1143",0.29,0.07,0.11,0.14,0.69,0.61,0.64,0.61,0.64,0.37,0,0,5
"    1152",NA,NA,NA,NA,0.58,-0.09,0.69,-0.01,0.37,0.14,0,0,2
"    1160",0.29,-0.37,0,-0.37,0,-0.27,0.11,-0.27,0.2,-0.27,1,0,3
"    1161",NA,NA,NA,NA,0.11,-0.37,0.29,-0.17,0.11,-0.01,0,0,2
"    1165",0.2,0.07,0.11,-0.37,0.29,0.07,0.44,-0.37,0.37,-0.27,0,0,8
"    1167",NA,NA,0.2,-0.27,0.75,0.32,0.89,0.37,0.51,0.42,1,0,10
"    1174",0.29,-0.09,0.11,-0.27,0.2,-0.27,0.37,-0.17,0.69,0.07,1,0,8
"    1179",0.29,-0.01,0.2,-0.09,0.2,-0.09,0.58,0.14,0.37,0.2,1,0,7
"    1199",0.2,-0.37,0.2,-0.37,0.29,-0.01,0.29,-0.09,0.85,0.2,1,0,1
"    1201",0.29,0.32,0.11,-0.01,0,-0.27,0.37,0.14,0.69,0.26,1,0,7
"    1206",0.29,0.07,0.58,0.32,0.89,0.76,1.13,0.76,0.94,0.2,0,0,4
"    1226",0,-0.37,0.37,-0.27,0.37,-0.37,0.51,-0.37,0,-0.37,1,0,2
"    1230",0.29,-0.27,0.29,-0.27,0.44,0.14,0.69,0.37,0.69,0.47,0,0,7
"    1238",0.11,0.07,0.11,-0.17,0.58,-0.37,0.69,0.42,0.44,-0.06,0,0,2
"    1240",0,-0.37,0.2,-0.27,0,-0.27,0.58,-0.09,0.44,-0.09,0,0,1
"    1244",0.29,-0.17,0,-0.37,0.29,-0.37,0.2,-0.37,NA,NA,0,0,10
"    1249",0.29,-0.17,0.44,-0.17,0,-0.37,0,-0.09,0.2,-0.09,0,0,8
"    1253",0.44,-0.26,0.29,-0.17,0.75,0.26,0.8,0.47,0.94,0.61,1,0,1
"    1254",NA,NA,NA,NA,0.2,0.07,0.2,0.07,0.44,0.26,0,0,6
"    1268",NA,NA,0.69,-0.37,0.69,-0.37,NA,NA,NA,NA,0,0,4
"    1274",NA,NA,0.29,-0.09,0.11,-0.09,0.29,-0.37,0.69,-0.09,1,0,6
"    1277",0,-0.37,0,-0.37,0,-0.37,0,-0.27,0,-0.27,1,0,7
"    1289",0,-0.37,0,-0.37,0,-0.37,0,-0.37,0,-0.37,1,0,4
"    1304",0.51,0.56,0.58,0.14,0.75,0.26,0.44,0.32,0.58,-0.17,0,0,1
"    1320",0,-0.37,NA,NA,0.11,-0.37,0.29,0.07,0.44,-0.09,0,0,5
"    1323",0,-0.37,0.69,-0.37,0.69,-0.37,0.69,0.2,0.89,0.14,1,0,4
"    1333",0.11,-0.17,0.29,0.41,0.29,-0.17,0.44,-0.09,0,-0.37,0,0,2
"    1334",0.2,0.07,0,-0.17,0,-0.01,0,-0.01,0.11,-0.01,1,0,2
"    1336",0.2,-0.09,NA,NA,NA,NA,NA,NA,NA,NA,1,0,2
"    1351",0,-0.09,0.64,-0.17,0.58,-0.09,0.8,0.14,0.69,-0.27,0,0,3
"    1369",0.2,-0.01,0.11,-0.17,0.11,-0.17,0,-0.09,0.11,-0.17,1,0,4
"    1371",0.29,-0.37,NA,NA,0,-0.27,NA,NA,0,-0.17,0,0,4
"    1385",0.11,-0.01,0.2,0.07,0.2,-0.09,0.11,-0.01,0.29,0.26,1,0,7
"    1386",0,0.14,0.11,-0.09,0,-0.01,0.11,-0.01,0.2,0.14,0,0,5
"    1391",NA,NA,0,-0.27,0,-0.37,0,-0.27,0,-0.37,1,0,3
"    1395",0.37,0.69,0.29,-0.01,0,-0.09,0.11,0.07,0.37,0.26,0,0,3
"    1405",0,-0.37,NA,NA,NA,NA,NA,NA,NA,NA,1,0,2
"    1409",NA,NA,0.37,-0.27,0.11,-0.17,0.11,-0.17,0.44,-0.27,1,0,3
"    1415",0,-0.17,0.2,-0.17,0.69,0.14,0.44,-0.01,0.51,0.14,1,0,6
"    1423",0.29,-0.09,0.64,0.32,0.58,0.26,0.69,-0.09,0.85,0.26,0,0,4
"    1427",NA,NA,0.11,-0.27,0,-0.37,0.58,-0.17,0.44,-0.37,0,0,4
"    1428",0,-0.37,0,-0.27,0,-0.27,0.29,-0.17,0.2,-0.17,0,0,2
"    1434",0.11,-0.27,0.11,-0.27,0.37,0.14,0.58,0.37,0.58,0.47,0,0,3
"    1437",0.29,-0.27,0,0.14,0.29,0.26,0.94,0.61,0.89,0.56,1,0,2
"    1441",0.2,-0.17,0,-0.37,0.11,-0.27,0.37,-0.09,0.2,-0.09,1,0,6
"    1448",0.75,-0.09,0.51,0.07,0.8,-0.01,0.85,0.37,1.02,0.42,0,0,2
"    1450",0.2,0.2,0.51,0.32,0.37,0.26,0.69,0.26,0.69,0.2,0,0,2
"    1465",NA,NA,0.51,-0.01,0.85,0.14,0.51,-0.01,0.64,0.14,0,0,3
"    1477",0.11,-0.27,0.64,-0.01,0.75,0.14,0.75,-0.01,0.44,-0.09,0,0,3
"    1486",NA,NA,0,-0.37,0,-0.37,0.11,-0.37,0,-0.37,1,0,4
"    1496",0.11,-0.37,0.51,0.42,0.58,0.61,0.58,0.65,0.58,0.47,1,0,10
"    1507",0.11,-0.17,0,-0.37,0.51,0.14,0.51,0.32,0.58,0.32,0,0,4
"    1514",0.11,0.07,0,-0.37,0,-0.17,0,-0.27,0,-0.17,0,0,7
"    1521",NA,NA,0,-0.27,0.37,0.14,0.29,0.14,0.58,0.26,1,0,3
"    1524",0.29,-0.01,0.11,-0.09,0.37,0.37,0.2,-0.17,0.37,-0.17,1,0,2
"    1526",0.2,0.26,NA,NA,0.51,-0.17,0.44,0.07,0.29,-0.37,1,0,4
"    1527",0.29,-0.37,0.51,-0.09,0.11,-0.17,0.69,-0.37,NA,NA,0,0,5
"    1538",0.11,-0.27,0.29,-0.27,0.29,-0.09,0,-0.17,0.2,0.07,1,0,5
"    1542",0.2,0.14,0.2,0.32,0.69,0.52,0.58,0.47,0.75,0.32,0,0,2
"    1552",0,-0.17,0.11,-0.01,0.8,0.2,0.44,0.07,0.44,0.07,0,0,4
"    1572",NA,NA,0.11,-0.27,0.2,0.14,0.2,-0.09,NA,NA,1,1,2
"    1577",0.11,-0.37,0,-0.37,0.29,0.07,0.11,0.07,0,-0.37,1,1,2
"    1581",0,-0.37,0,-0.37,0,-0.37,0,-0.37,0,-0.27,1,1,1
"    1593",0,0.07,0.11,0.07,0,0.37,0.2,0.37,0.2,0.26,0,0,3
"    1598",0.11,-0.17,0.51,-0.17,0.44,0.07,0.51,-0.01,0.58,0.07,0,0,4
"    1615",0,-0.17,0,-0.27,0.11,-0.17,0.2,-0.09,0.44,-0.09,1,0,5
"    1621",NA,NA,NA,NA,0.2,-0.09,0.58,-0.01,0.51,-0.01,1,0,6
"    1641",0,-0.37,0,-0.24,0,-0.37,0,-0.17,0.11,-0.27,0,1,2
"    1642",NA,NA,NA,NA,0,0.56,0,0.2,0,-0.37,0,0,2
"    1650",0.44,-0.27,0.51,-0.37,0.64,-0.27,NA,NA,NA,NA,1,0,4
"    1653",0.11,0.07,0.11,-0.09,0.29,-0.09,0.44,0.26,0.75,0.73,0,0,6
"    1677",0.2,-0.17,0.37,-0.37,0.29,-0.01,0.2,-0.17,0.2,-0.37,1,1,2
"    1693",0,-0.09,0.2,0.07,0.2,-0.09,0.2,-0.01,0.2,-0.01,1,0,4
"    1696",0.11,-0.37,0.11,0.07,0,-0.17,0,-0.17,0,0.07,1,0,4
"    1708",NA,NA,0,-0.37,0.44,-0.37,0.29,-0.37,0.29,-0.37,1,0,1
"    1720",0.2,-0.09,0,-0.17,0,-0.27,0,-0.37,0,-0.27,1,0,2
