"cty_id","county","lon","lat","Uppm","u"
27099,"MOWER",-92.752,43.671,1.29814,0.260932470709068
27101,"MURRAY",-95.763,44.022,1.49011,0.398849942735755
27103,"NICOLLET",-94.249,44.35,1.28152,0.248046873411091
27105,"NOBLES",-95.753,43.674,1.49998,0.405451774685941
27107,"NORMAN",-96.455,47.327,1.30372,0.265221716521598
27109,"OLMSTED",-92.402,44.004,1.27526,0.24315007938984
27111,"OTTERTAIL",-95.708,46.409,0.814867,-0.20473036924229
27113,"PENNINGTON",-96.036,48.066,0.928646,-0.0740276676859043
27115,"PINE",-92.741,46.121,0.849343,-0.163292169547294
27117,"PIPESTONE",-96.258,44.023,1.61382,0.478604039464906
27119,"POLK",-96.402,47.774,1.30488,0.266111082523638
27121,"POPE",-95.444,45.586,1.32465,0.281148273600784
27123,"RAMSEY",-93.099,45.017,0.658327,-0.418053510614464
27125,"REDLAKE",-96.095,47.872,1.03105,0.0305777004641382
27127,"REDWOOD",-95.253,44.404,1.44242,0.366322258590098
27129,"RENVILLE",-94.947,44.727,1.46313,0.380577976600215
27131,"RICE",-93.296,44.354,1.21306,0.193146092877103
27133,"ROCK",-96.253,43.675,1.69558,0.528024865192056
27135,"ROSEAU",-95.81,48.775,0.808928,-0.212045364648176
27137,"STLOUIS",-92.462,47.588,0.622088,-0.474673717150503
27139,"SCOTT",-93.535,44.649,1.06515,0.0631156343140753
27141,"SHERBURNE",-93.774,45.444,0.504879,-0.683436482376788
27143,"SIBLEY",-94.232,44.58,1.26771,0.23721212323308
27145,"STEARNS",-94.613,45.552,1.12344,0.116395406677788
27147,"STEELE",-93.226,44.022,1.30971,0.269805738660408
27149,"STEVENS",-96,45.586,1.60124,0.470778329088307
27151,"SWIFT",-95.681,45.283,1.37167,0.316028975591628
27153,"TODD",-94.897,46.071,0.95424,-0.0468400668458182
27155,"TRAVERSE",-96.471,45.772,1.64476,0.497594476916848
27157,"WABASHA",-92.23,44.284,1.16193,0.150082415651304
27159,"WADENA",-94.969,46.586,0.510671,-0.672029731746026
27161,"WASECA",-93.587,44.022,1.23666,0.212414197101124
27163,"WASHINGTON",-92.884,45.038,0.862876,-0.147484283042756
27165,"WATONWAN",-94.614,43.978,1.2011,0.183237803578308
27167,"WILKIN",-96.468,46.357,1.26622,0.236036084296147
27169,"WINONA",-91.78,43.987,1.58917,0.463211867357523
27171,"WRIGHT",-93.963,45.174,0.913909,-0.0900242748478867
27173,"YELLOWMEDICINE",-95.868,44.716,1.42659,0.355286981163884
